410	167363 642
411	168006 674
412	168681 654
413	169336 631
414	169968 633
415	170602 633
416	171236 645
417	171882 644
418	172527 673
419	173201 609
421	173811 615
422	174427 619
423	175047 601
424	175649 613
425	176263 619
426	176883 629
427	177513 617
428	178131 673
430	178805 584
431	179390 641
433	180032 623
434	180656 604
435	181261 641
438	181903 617
440	182521 625
441	183147 641
442	183789 637
448	184427 600
449	185028 614
450	185643 614
451	186258 626
452	186885 623
453	187509 635
455	188145 583
456	188729 641
457	189371 631
459	190003 621
460	190625 603
461	191229 641
465	191871 625
467	192497 642
468	193140 641
470	193782 584
472	194367 643
473	195011 641
475	195653 626
476	196280 603
477	196884 641
479	197526 621
481	198148 606
483	198755 608
484	199364 641
489	200006 619
490	200626 678
491	201305 623
492	201929 639
493	202569 653
494	203223 639
495	203863 622
496	204486 641
497	205128 645
498	205774 630
499	206405 643
500	207049 640
501	207690 4316
502	212007 5460
503	217468 3016
504	220485 2748
505	223234 3741
506	226976 2123
507	229100 4007
508	233108 13138
509	246247 2514
510	248762 1918
511	250681 3622
512	254304 3865
513	258170 3875
514	262046 1896
515	263943 5438
516	269382 6876
517	276259 2508
518	278768 4582
519	283351 6976
520	290328 1503
521	291832 2484
522	294317 2673
523	296991 814
524	297806 5361
525	303168 269
526	303438 838
527	304277 3577
528	307855 5926
529	313782 1238
530	315021 1385
531	316407 3687
532	320095 4583
533	324679 2387
534	327067 2203
535	329271 3777
536	333049 4061
537	337111 929
538	338041 2938
539	340980 1140
540	342121 1784
541	343906 2003
542	345910 3127
543	349038 7144
544	356183 8613
545	364797 3967
546	368765 3998
547	372764 4628
548	377393 3904
549	381298 4631
550	385930 1158
551	387089 4217
552	391307 2709
553	394017 1717
554	395735 1079
555	396815 4041
556	400857 3877
557	404735 2891
558	407627 1291
559	408919 3167
560	412087 7692
561	419780 19075
562	438856 2198
563	441055 3786
564	444842 1648
565	446491 4254
566	450746 5122
567	455869 8855
568	464725 3145
569	467871 13378
570	481250 3746
572	484997 6376
573	491374 8712
574	500087 5769
575	505857 2168
576	508026 4976
577	513003 1215
578	514219 3865
579	518085 6366
580	524452 1666
581	526119 3441
582	529561 2807
583	532369 6294
584	538664 5397
585	544062 1808
586	545871 6756
587	552628 3675
588	556304 10436
589	566741 6982
590	573724 4564
591	578289 3526
592	581816 6454
593	588271 9640
594	597912 1594
595	599507 2779
596	602287 2402
597	604690 4561
598	609252 8715
599	617968 1587
600	619556 4817
601	624374 3332
602	627707 3683
603	631391 6349
604	637741 1480
605	639222 2677
606	641900 2086
607	643987 3101
608	647089 1595
609	648685 8507
610	657193 3496
611	660690 3383
612	664074 1358
613	665433 7908
614	673342 8192
615	681535 8629
616	690165 5678
617	695844 7411
618	703256 7074
619	710331 5483
620	715815 1787
621	717603 6416
622	724020 9028
623	733049 3856
625	736906 2719
626	739626 2389
627	742016 3853
628	745870 4801
629	750672 4254
630	754927 3239
631	758167 7044
632	765212 8567
633	773780 8480
634	782261 2788
635	785050 637
636	785688 4181
637	789870 8127
638	797998 8328
639	806327 5399
641	811727 7589
642	819317 6633
643	825951 3453
644	829405 2890
645	832296 1050
646	833347 3044
647	836392 10591
648	846984 7554
649	854539 7607
650	862147 1031
651	863179 2959
652	866139 1784
653	867924 8018
654	875943 6932
655	882876 4052
656	886929 1022
657	887952 9570
658	897523 9621
659	907145 2696
660	909842 3784
661	913627 5681
662	919309 14773
663	934083 3035
664	937119 4446
665	941566 7882
666	949449 6489
667	955939 2497
668	958437 3856
669	962294 3791
670	966086 1849
671	967936 3376
672	971313 5068
673	976382 2230
674	978613 1096
675	979710 1353
676	981064 3985
677	985050 980
