160	723633 1444
161	725077 1377
162	726454 9098
163	735552 315
164	735867 1747
165	737614 787
166	738401 1474
167	739875 12572
168	752447 8052
169	760499 4097
170	764596 5019
171	769615 4482
172	774097 8959
173	783056 2236
174	785292 5383
175	790675 2944
176	793619 3129
177	796748 1700
178	798448 8110
179	806558 3708
180	810266 14190
181	824456 3301
182	827757 3895
183	831652 4331
184	835983 11611
185	847594 948
186	848542 8022
187	856564 6284
188	862848 800
189	863648 5700
190	869348 15718
191	885066 934
192	886000 6083
193	892083 695
194	892778 5279
195	898057 8080
196	906137 1459
197	907596 4381
198	911977 719
199	912696 8931
200	921627 1378
201	923005 766
202	923771 3234
203	927005 771
204	927776 6221
205	933997 6363
206	940360 5741
207	946101 10752
208	956853 3797
209	960650 1588
210	962238 2153
211	964391 9588
212	973979 4316
213	978295 6389
214	984684 3052
215	987736 6102
216	993838 6083
217	999921 1697
218	1001618 6476
219	1008094 3279
220	1011373 6714
221	1018087 9038
222	1027125 1429
223	1028554 2914
224	1031468 1779
225	1033247 3355
226	1036602 6021
227	1042623 6801
228	1049424 6307
229	1055731 6429
230	1062160 9704
231	1071864 9745
232	1081609 1185
233	1082794 718
234	1083512 1151
235	1084663 3801
236	1088464 673
237	1089137 5531
238	1094668 1396
239	1096064 2785
240	1098849 2322
241	1101171 5532
242	1106703 12222
243	1118925 2601
244	1121526 26090
245	1147616 3715
246	1151331 4040
247	1155371 12435
248	1167806 4406
249	1172212 3896
250	1176108 14656
251	1190764 12278
252	1203042 3680
253	1206722 1641
254	1208363 9107
255	1217470 1808
256	1219278 717
257	1219995 3236
258	1223231 2861
259	1226092 5824
260	1231916 9623
261	1241539 4048
262	1245587 1139
263	1246726 1790
264	1248516 5505
265	1254021 4602
266	1258623 4548
267	1263171 4399
268	1267570 1863
269	1269433 4375
270	1273808 3680
271	1277488 6169
272	1283657 4196
273	1287853 1110
274	1288963 739
275	1289702 8849
276	1298551 3959
277	1302510 7012
278	1309522 1517
279	1311039 2483
280	1313522 1092
281	1314614 1030
282	1315644 1021
283	1316665 5332
284	1321997 11004
285	1333001 752
286	1333753 671
287	1334424 4023
288	1338447 10095
289	1348542 1314
290	1349856 3115
291	1352971 857
293	1353828 632
294	1354460 993
295	1355453 731
296	1356184 1758
297	1357942 12304
298	1370246 4332
299	1374578 11197
300	1385775 3616
301	1389391 5138
302	1394529 7831
303	1402360 5325
304	1407685 11014
305	1418699 1839
306	1420538 7274
307	1427812 3695
308	1431507 7933
309	1439440 485
310	1439925 5220
311	1445145 2501
312	1447646 3088
313	1450734 3886
314	1454620 756
315	1455376 878
316	1456254 5679
317	1461933 1491
318	1463424 2145
319	1465569 2625
320	1468194 3673
321	1471867 3277
322	1475144 2093
323	1477237 4833
324	1482070 10149
325	1492219 594
326	1492813 3171
327	1495984 3460
328	1499444 5321
329	1504765 3770
330	1508535 6255
331	1514790 9863
332	1524653 2082
333	1526735 1638
334	1528373 3130
335	1531503 5587
336	1537090 3675
337	1540765 1989
338	1542754 4401
339	1547155 1371
340	1548526 9460
341	1557986 4583
342	1562569 2588
343	1565157 3582
344	1568739 1810
345	1570549 1490
346	1572039 1512
347	1573551 4723
348	1578274 2898
349	1581172 8566
350	1589738 7782
351	1597520 5313
352	1602833 3048
353	1605881 7131
354	1613012 1201
355	1614213 2808
356	1617021 2595
357	1619616 1955
358	1621571 2324
359	1623895 531
360	1624426 5888
361	1630314 524
362	1630838 2080
363	1632918 6632
364	1639550 5887
365	1645437 2525
366	1647962 3079
367	1651041 8946
368	1659987 3621
369	1663608 3898
370	1667506 3045
371	1670551 8961
372	1679512 4045
373	1683557 3398
374	1686955 3643
375	1690598 1472
376	1692070 4487
377	1696557 1027
378	1697584 1781
